otu,Bifiform_k2report,Lenta_k2report,LinexF_k2report,Piskarevsky_k2report,Praskovia_k2report,Prostokvashino_k2report,Sarafanovo_k2report,Vkusvill_k2report
2845181,0,0,0,107,0,8904,0,6442
49118,0,1,0,0,0,0,0,0
573,2,3,0,1,1,0,0,1
1723645,0,0,0,1,0,0,0,0
979982,0,0,0,5,0,94,48,0
69966,0,82,0,23,129,7,2,56
3366579,0,20,0,0,0,0,1,0
114416,0,0,0,21,416,136,0,183
80865,0,0,0,0,0,10,0,0
3411354,0,4,0,3,0,0,0,0
72000,0,3,0,3,9,1,0,0
2845435,0,0,0,6,0,67,3,317
33936,0,1,0,0,0,0,0,0
665886,0,0,0,5,0,0,69,6678
1111069,0,0,0,1,0,0,0,0
93681,0,0,0,1,0,0,0,0
442,0,0,0,0,2,1,0,0
391290,0,4,0,0,0,0,0,0
837,0,2,0,0,1,0,0,0
182773,0,2,0,3,1,0,0,0
2845453,0,0,0,2,0,0,0,4204
2845444,0,0,0,0,0,0,0,1680
2845422,0,679,0,0,0,0,0,0
2845388,0,23575,0,0,0,0,0,0
2954544,0,0,0,0,0,1,0,0
2980099,0,0,0,0,3,0,0,0
246,0,18,0,5,14,2,0,0
28131,0,0,0,0,0,0,0,1
319970,0,0,0,2,2,0,0,0
797277,0,0,0,0,0,0,1,0
2564099,0,2,0,0,0,0,0,1
2993456,0,1,0,0,0,0,0,0
164393,0,1,0,0,0,0,0,0
57665,0,0,0,0,1,0,0,0
1842539,1,0,0,0,0,0,0,0
2929509,0,8,0,0,6,0,0,0
160453,0,2,0,14,5,70,1,0
1852374,0,1,0,0,0,0,0,0
2113,0,0,0,0,0,0,15,0
2954608,0,0,0,0,0,0,0,1
52692,0,0,0,1,0,0,0,0
2026,0,1,0,0,0,0,0,0
52133,0,3,0,0,0,0,0,0
115551,0,0,0,0,0,0,0,1
3027470,0,5,0,0,10,0,0,0
2742,0,0,0,0,1,0,0,0
2169976,0,0,0,37,0,81,3,0
651,0,141,0,3,6,0,13,0
270,0,0,2,0,0,2,0,0
675,0,0,0,0,0,1,0,0
3408576,1,3,0,0,1,0,0,0
39948,0,0,0,0,1,0,0,0
399726,0,1,0,0,1,0,0,0
3122075,0,1,0,1,0,1,1,2
1316411,0,7,0,0,0,0,0,0
2845471,0,1344,0,0,0,0,0,0
357276,0,0,0,0,0,0,0,2
1563479,0,2,0,0,0,0,0,0
1718,0,5,0,6,1,4,0,1
253,0,10,0,6,8,0,0,0
55211,0,1,0,0,0,2,0,0
290425,0,0,0,0,0,1,0,0
2057741,1,2,1,1,1,0,0,0
472,0,32,0,6,19,0,0,1
1615674,0,7,0,0,0,1,0,0
2983215,0,0,0,0,1,0,0,0
3123039,0,1,0,0,0,0,0,0
131111,0,0,1,0,0,0,0,0
54291,0,7,0,0,4,0,0,0
2953738,0,1,0,0,0,0,0,0
2845394,0,0,0,14,190,1,0,2755
1758189,0,1,0,0,1,0,0,0
