otu,Realm,Subrealm,Sub-subrealm,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
2845181,root,Viruses,Duplodnaviria,,Heunggongvirae,Uroviricota,Caudoviricetes,,,Skunavirus,Skunavirus sv88605
49118,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus sp. SFB-mouse
573,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
1723645,root,cellular organisms,Bacteria,,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. 008
979982,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc sp. C2
69966,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcoides,Macrococcoides caseolyticum
3366579,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp. A-8
114416,root,Viruses,Duplodnaviria,,Heunggongvirae,Uroviricota,Caudoviricetes,,,Skunavirus,Lactococcus phage ul36
80865,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,
3411354,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. M14
72000,root,cellular organisms,Bacteria,,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,Kocuria rhizophila
2845435,root,Viruses,Duplodnaviria,,Heunggongvirae,Uroviricota,Caudoviricetes,,,Skunavirus,Skunavirus P475
33936,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Aeribacillus,Aeribacillus pallidus
665886,root,Viruses,Duplodnaviria,,Heunggongvirae,Uroviricota,Caudoviricetes,,,Skunavirus,Skunavirus CB19
1111069,root,cellular organisms,Bacteria,,Thermotogati,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,Thermus sp. CCB_US3_UF1
93681,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Roseateles,
442,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconobacter,Gluconobacter oxydans
391290,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Geobacillus,Geobacillus sp. E263
837,root,cellular organisms,Bacteria,,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis
182773,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium isatidis
2845453,root,Viruses,Duplodnaviria,,Heunggongvirae,Uroviricota,Caudoviricetes,,,Skunavirus,Skunavirus JF1
2845444,root,Viruses,Duplodnaviria,,Heunggongvirae,Uroviricota,Caudoviricetes,,,Skunavirus,Skunavirus sv193
2845422,root,Viruses,Duplodnaviria,,Heunggongvirae,Uroviricota,Caudoviricetes,,,Ceduovirus,Ceduovirus LacS15
2845388,root,Viruses,Duplodnaviria,,Heunggongvirae,Uroviricota,Caudoviricetes,,,Ceduovirus,Ceduovirus CHPC116
2954544,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sp. FSL W7-1291
2980099,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Paenalcaligenes,Paenalcaligenes faecalis
246,root,cellular organisms,Bacteria,,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium balustinum
28131,root,cellular organisms,Bacteria,,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia
319970,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus devriesei
797277,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Halopseudomonas,Halopseudomonas litoralis
2564099,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus bovis
2993456,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus carotarum
164393,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus fuchuensis
57665,root,cellular organisms,Bacteria,,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,
1842539,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Boseaceae,Bosea,Bosea sp. RAC05
2929509,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. NyZ410
160453,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus gilvus
1852374,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Ezakiella,Ezakiella massiliensis
2113,root,cellular organisms,Bacteria,,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis,Mycoplasmopsis californica
2954608,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Aeribacillus,Aeribacillus sp. FSL k6-2211
52692,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium malicum
2026,root,cellular organisms,Bacteria,,Bacillati,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoactinomyces,Thermoactinomyces vulgaris
52133,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter venetianus
115551,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Vreelandella,Vreelandella neptunia
3027470,root,cellular organisms,Bacteria,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. TAC-1
